Sinif Adi                                    Vtable VA    Slots
CUIPieceChange                               0x01035694   52
CUIPointInitDlg                              0x0103577C   52
CUIPreset                                    0x010361F0   52
CUIQuestCommon                               0x01036544   52
CUIQuestCompleted                            0x01036618   52
CUIQuestContent                              0x01036708   52
CUIQuestEdit                                 0x010367FC   52
CUIQuestMainStory_1                          0x010368E0   52
CUIQuestMainStory_2                          0x010369D4   52
CUIQuestMainStory_3                          0x01036AB4   52
CUIQuestMap                                  0x01036E4C   52
CUIQuestMiniTip                              0x0103703C   52
CUIQuestNode                                 0x01037134   52
CUIQuestNpcMenu                              0x01037240   52
CUIQuestNpcMenu2                             0x01037340   52
CUIQuestNpcTalk                              0x01037480   52
CUIQuestNpcTalk2                             0x010375A0   52
CUIQuestRequital                             0x0103768C   52
CUIQuestSeed                                 0x01037818   52
CUIQuestTree                                 0x010378EC   52
CUIQuestViewer                               0x01037CC8   52
CUIRadder                                    0x01037FA8   52
CUIRadder2                                   0x01038084   52
CUIRadderBase                                0x01038158   55
CUIRealmPointSave                            0x01038390   52
CUIRebuy                                     0x010384D8   52
CUIRecruitingBoardBase                       0x010386D8   61
CUIRecruitingBoard_Type2                     0x010387EC   61
CUIRenameCheck                               0x010388E4   52
CUIRenameID                                  0x010389B8   53
CUIRental                                    0x01038B6C   52
CUIRentalBase                                0x01038C40   52
CUIRentalBegin                               0x01038D38   52
CUIRentalCount                               0x01038E3C   52
CUIRentalItemCheck                           0x01038F70   52
CUIRentalMessage                             0x0103906C   52
CUIRentalRegist                              0x01039190   52
CUIRepairTooltipDlg                          0x010392AC   52
CUIReportList                                0x0103976C   52
CUIReportNotice                              0x0103FAB8   52
CUIReportQuestionnaire                       0x01039868   52
CUIReporterAgreementMsg                      0x010393CC   52
CUIReporterList                              0x010395AC   52
CUIRequestHelp                               0x0103998C   52
CUIRequestHelpButton                         0x01039AE4   55
CUIResurrection                              0x01039BF8   52
CUIRingUpgrade                               0x01039E5C   52
CUIRonarkTooltip                             0x0100B7E8   52
CUIRonarkWarResult                           0x0100B438   52
CUIRonarkWarScore                            0x0100B8E8   52
CUIRookieTip                                 0x01039F48   52
CUISchedulerBase                             0x0103A01C   61
CUISchedulerBtn                              0x0103A160   52
CUISchedulerMain                             0x0103A37C   61
CUISchedulerMgr                              0x0103A580   52
CUISchedulerOption                           0x0103A714   61
CUISchedulerReg                              0x0103A954   61
CUIScreenCaptureConfig                       0x0100E7E0   53
CUISeedHelper                                0x0103AAB8   52
CUIShoppingMall                              0x0103BCF4   52
CUIShowIcon                                  0x0103BE20   52
CUISiegeWarfare                              0x0103C030   52
CUISiegeWarfareSiutationInfo                 0x0103BF5C   52
CUISkillIconView                             0x0103C104   52
CUISkillIconViewOption                       0x0103C2B4   52
CUISkillTreeDlg                              0x0103C6F0   67
CUISms                                       0x0103C964   52
CUISoccerStatus                              0x0103CA60   52
CUISpacePush                                 0x0103CB78   52
CUISpecialAuction                            0x0103CE3C   52
CUIStanbySystem                              0x0103CF10   52
CUIState                                     0x0103FF88   53
CUIStateBar                                  0x0103D058   52
CUIStoreSelect                               0x0103D148   52
CUIStoreSelectOnebo                          0x0103D21C   52
CUISupermaketMain                            0x0103D4C0   52
CUISurvivalBossHPBar                         0x0100D218   52
CUISurvivalEnter                             0x0100D318   52
CUISurvivalPassiveTooltip                    0x0100D404   52
CUISurvivalRank                              0x0100D58C   52
CUISurvivalSkill                             0x0100D6A0   67
CUISurvivalSkillSelect                       0x0100D860   52
CUISurvivalSkillSelectSmall                  0x0100D934   52
CUISymbolRegist                              0x0103D6E0   52
CUISymbol_Preview                            0x0103D7B4   52
CUITWAgreement                               0x0103F358   52
CUITargetBar                                 0x0103D8B0   52
CUITaskBar_Main                              0x0103DC78   52
CUITaskBar_Sub                               0x0103DE14   52
CUITiketExchange                             0x0100BAC4   53
CUITournament                                0x0103DF1C   52
CUITournamentTeam                            0x0103E080   52
CUITournamentVictory                         0x0103E184   52
CUITradeBBSEditDlg                           0x0103E270   52
CUITradeBBSSelector                          0x0103E35C   52
CUITradeBuyInventory                         0x0103E488   52
CUITradeCount                                0x0103E55C   52
CUITradeEditDlg                              0x0103E630   52
CUITradeExplanation                          0x0103E704   52
CUITradeInventory                            0x0103E850   52
CUITradeItemDisplay                          0x0103E92C   52
CUITradeItemDisplaySpecial                   0x0103EA00   52
CUITradeMessage                              0x0103EAD4   52
CUITradeMessageBox                           0x0103EBA8   52
CUITradePrice                                0x0103EC88   52
CUITradeSellBBS                              0x0103ED98   52
CUITraining                                  0x0103EE88   52
CUITransactionDlg                            0x0103F154   67
CUITransformation                            0x0103F270   52
CUIUSALogo                                   0x0103F6EC   52
CUIUnionWindow                               0x0103F4D4   52
CUIUpgradeSelect                             0x0103F5CC   52
CUIUserInfo                                  0x0103F8AC   52
CUIUserVote                                  0x0103F9E4   52
CUIVanguard                                  0x01020E78   52
CUIVanguard_m                                0x01020DA4   52
CUIVarious                                   0x0103FD0C   52
CUIVirtualInventory                          0x010400C8   67
CUIVoteBoard                                 0x0104031C   52
CUIWarEnterDeco                              0x010406C4   52
CUIWarIcon                                   0x0101BFAC   52
CUIWarScoreBoard                             0x01041314   52
CUIWarState                                  0x010413F4   52
CUIWareHouseDlg                              0x01040480   67
CUIWareHousePW                               0x010405BC   52
CUIWarfareAdministrationNpc                  0x010407CC   52
CUIWarfareCastleKeepUnion                    0x010408F4   52
CUIWarfareNpc                                0x01040A04   52
CUIWarfareRequestList                        0x01040B4C   52
CUIWarfareSchedule                           0x01040C48   52
CUIWarfareTaxCollection                      0x01040D1C   52
CUIWarfareTaxList                            0x01040E2C   52
CUIWarfareTaxMsg                             0x01040F20   52
CUIWarfareTaxRate                            0x01041018   52
CUIWarp                                      0x01041124   52
CUIWebPage                                   0x010414D0   52
CUIWishClanBBS                               0x01041688   52
CUIWishClanMessage                           0x01041840   52
CUIWishClanRequestList                       0x01041940   52
CUIZoneChannel                               0x01041A38   52
CUI_AssistCount                              0x01041B7C   52
CUI_DrakyChapterBoard                        0x01041CC0   52
CUI_DrakyFloor                               0x01041DDC   52
CUI_DrakyQueueBar                            0x01041ED4   52
CUI_DrakyQueueBox                            0x01041FD0   52
CUI_DrakyRankBoard                           0x01042114   52
CUI_KillCount                                0x0104232C   52
CUI_Mic_Guide                                0x01042568   52
CUI_Re_BorderDFF                             0x01042948   52
CUI_ShopBanList                              0x01042AD4   52
CUI_TargetFrameBar                           0x0103DA18   52
